Parameters of the vcal vs. pulse height fits
par[3] + par[2] * TMath::TanH(par[0]*x[0] - par[1])
+2.883036e-03 +8.410141e-01 +9.513865e+02 +2.307012e+02     Pix  2 37
+2.890714e-03 +7.922370e-01 +9.727792e+02 +2.066548e+02     Pix  2 38
+2.644018e-03 +7.747179e-01 +1.024833e+03 +1.849341e+02     Pix  2 39
+2.871561e-03 +8.082454e-01 +9.693948e+02 +2.133179e+02     Pix  2 40
+2.798748e-03 +8.165209e-01 +9.735746e+02 +2.027868e+02     Pix  2 41
+2.897873e-03 +8.469677e-01 +9.544751e+02 +2.601944e+02     Pix  2 42
+2.844716e-03 +8.183620e-01 +9.537131e+02 +2.244112e+02     Pix  2 43
+2.857481e-03 +8.493943e-01 +9.652283e+02 +2.039183e+02     Pix  2 44
+2.936223e-03 +8.804224e-01 +9.491719e+02 +2.463379e+02     Pix  2 45
+2.810413e-03 +8.189426e-01 +9.590401e+02 +2.180133e+02     Pix  2 46
+2.850385e-03 +8.396734e-01 +9.603418e+02 +1.980002e+02     Pix  2 47
+2.644674e-03 +7.744655e-01 +1.014028e+03 +1.776755e+02     Pix  2 48
+2.803324e-03 +8.249409e-01 +9.550086e+02 +2.235236e+02     Pix  2 49
+2.740818e-03 +7.914352e-01 +9.776333e+02 +1.950116e+02     Pix  2 50
+2.800705e-03 +8.459851e-01 +9.715759e+02 +2.170153e+02     Pix  2 51
+2.739404e-03 +7.960188e-01 +9.884788e+02 +1.927148e+02     Pix  2 52
+2.758542e-03 +8.108702e-01 +9.703384e+02 +1.891660e+02     Pix  2 53
+2.794007e-03 +8.529772e-01 +9.691464e+02 +2.192743e+02     Pix  2 54
+2.780795e-03 +8.120654e-01 +9.788198e+02 +2.015135e+02     Pix  2 55
+2.837685e-03 +8.118701e-01 +9.635856e+02 +2.059304e+02     Pix  2 56
+2.758683e-03 +8.178771e-01 +9.823562e+02 +2.142537e+02     Pix  2 57
+2.773387e-03 +8.237984e-01 +9.743431e+02 +2.044190e+02     Pix  2 58
+2.788291e-03 +8.313305e-01 +9.572714e+02 +1.913278e+02     Pix  2 59
+2.703769e-03 +8.284926e-01 +9.812082e+02 +2.139660e+02     Pix  2 60
+2.782448e-03 +8.275531e-01 +9.709485e+02 +2.072148e+02     Pix  2 61
